state,topic,description,rank,topic_coefficient
California,Topic 23,"No person or organization may sell, purchase, or repair firearms, destructive devices, parts, or ammunition without a dealer's license; registrants must comply with all duties imposed by this act.",1,-3.027146049
California,Topic 17,"A firearms dealer must obtain a completed statement of intent, inspect proof of identity, and request a records check before transferring any handgun.",2,-2.002215551
California,Topic 11,The common law castle doctrine in the US established that a person attacked in their home had the right to use deadly force only if they reasonably believed it necessary to protect themselves.,3,-1.522077818
California,Topic 15,"Peace officers must arrest and charge a person suspected of committing a family violence crime, regardless of victim consent, relationship between suspects, or victim's request.",4,-1.159780314
California,Topic 22,"No handgun shall be delivered to any person without a valid permit to purchase a firearm and at least seven days have elapsed, nor shall any pistol or revolver be delivered within five days of application.",5,-0.7140164908
California,Topic 12,"A licensing authority may grant a permit to purchase, rent, or lease firearms to adults, and the state has the authority to regulate firearms and knives, while municipalities may not.",6,-0.6886903365
California,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",7,-0.5589293448
California,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,8,0
California,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",9,1.20E-06
California,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,10,0.3346929721
Colorado,Topic 17,"A firearms dealer must obtain a completed statement of intent, inspect proof of identity, and request a records check before transferring any handgun.",1,-2.427217012
Colorado,Topic 27,"Minors under eighteen cannot possess or carry deadly weapons, except on their own or family premises or with parental/guardian permission.",2,-1.471849849
Colorado,Topic 10,"A person shall not possess a firearm if they have entered a plea of guilty but mentally ill, and a person must report the loss or theft of any firearm or dangerous ordnance to law enforcement immediately.",3,-0.6297737058
Colorado,Topic 5,Selling firearms without a valid license is a misdemeanor,4,-0.1966486651
Colorado,Topic 19,Individuals with valid concealable weapons licenses are exempt from handgun carrying restrictions.,5,-0.1599318934
Colorado,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",6,-9.25E-07
Colorado,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,7,0
Colorado,Topic 3,"A valid license can be issued for hunting, target shooting, and self-defense purposes by court justices, police boards, mayors, selectmen, or the commissioner of public safety.",8,0
Colorado,Topic 21,Whoever sells or furnishes firearms to minors under the age of 15 will be fined between $100 and $500.,9,2.78E-09
Colorado,Topic 9,"A court may issue an ex parte gun violence restraining order if a petition, affidavit and additional information show substantial likelihood of person's danger.",10,0.2053803242
Connecticut,Topic 23,"No person or organization may sell, purchase, or repair firearms, destructive devices, parts, or ammunition without a dealer's license; registrants must comply with all duties imposed by this act.",1,-6.346344054
Connecticut,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",2,-5.441248273
Connecticut,Topic 25,"Any person who sells, barters, gives, or furnishes a handgun to a minor, having good cause to believe them to be a minor, is guilty of a Class 6 felony, and must undergo a criminal history background check.",3,-1.377763076
Connecticut,Topic 29,"A protective order is a restraining order issued ex parte, after notice and hearing, or in a judgment, and prohibits a person subject to the order from owning, possessing, purchasing, or receiving firearms or ammunition while in effect.",4,-0.9652056757
Connecticut,Topic 22,"No handgun shall be delivered to any person without a valid permit to purchase a firearm and at least seven days have elapsed, nor shall any pistol or revolver be delivered within five days of application.",5,-0.1617984054
Connecticut,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",6,-7.69E-07
Connecticut,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,7,0
Connecticut,Topic 26,The court may enter temporary orders to protect the plaintiff or minor child from abuse and may direct the defendant not to possess a firearm or other dangerous weapon.,8,0
Connecticut,Topic 9,"A court may issue an ex parte gun violence restraining order if a petition, affidavit and additional information show substantial likelihood of person's danger.",9,0.3579872881
Connecticut,Topic 17,"A firearms dealer must obtain a completed statement of intent, inspect proof of identity, and request a records check before transferring any handgun.",10,0.3985094375
Delaware,Topic 25,"Any person who sells, barters, gives, or furnishes a handgun to a minor, having good cause to believe them to be a minor, is guilty of a Class 6 felony, and must undergo a criminal history background check.",1,-6.581524615
Delaware,Topic 12,"A licensing authority may grant a permit to purchase, rent, or lease firearms to adults, and the state has the authority to regulate firearms and knives, while municipalities may not.",2,-1.456340508
Delaware,Topic 17,"A firearms dealer must obtain a completed statement of intent, inspect proof of identity, and request a records check before transferring any handgun.",3,-1.298815978
Delaware,Topic 27,"Minors under eighteen cannot possess or carry deadly weapons, except on their own or family premises or with parental/guardian permission.",4,-1.115214763
Delaware,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,5,-0.6445051557
Delaware,Topic 8,"A person under 18 years of age is guilty of unlawful possession of a handgun if they possess, manufacture, or transport it.",6,-0.4656523461
Delaware,Topic 19,Individuals with valid concealable weapons licenses are exempt from handgun carrying restrictions.,7,-0.1381118353
Delaware,Topic 10,"A person shall not possess a firearm if they have entered a plea of guilty but mentally ill, and a person must report the loss or theft of any firearm or dangerous ordnance to law enforcement immediately.",8,-0.1232791857
Delaware,Topic 15,"Peace officers must arrest and charge a person suspected of committing a family violence crime, regardless of victim consent, relationship between suspects, or victim's request.",9,-0.1002003509
Delaware,Topic 26,The court may enter temporary orders to protect the plaintiff or minor child from abuse and may direct the defendant not to possess a firearm or other dangerous weapon.,10,0
District of Columbia,Topic 29,"A protective order is a restraining order issued ex parte, after notice and hearing, or in a judgment, and prohibits a person subject to the order from owning, possessing, purchasing, or receiving firearms or ammunition while in effect.",1,-5.537782685
District of Columbia,Topic 27,"Minors under eighteen cannot possess or carry deadly weapons, except on their own or family premises or with parental/guardian permission.",2,-3.590580812
District of Columbia,Topic 25,"Any person who sells, barters, gives, or furnishes a handgun to a minor, having good cause to believe them to be a minor, is guilty of a Class 6 felony, and must undergo a criminal history background check.",3,-2.180798667
District of Columbia,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",4,-1.68790082
District of Columbia,Topic 17,"A firearms dealer must obtain a completed statement of intent, inspect proof of identity, and request a records check before transferring any handgun.",5,-1.125570898
District of Columbia,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",6,-3.15E-06
District of Columbia,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,7,0
District of Columbia,Topic 26,The court may enter temporary orders to protect the plaintiff or minor child from abuse and may direct the defendant not to possess a firearm or other dangerous weapon.,8,0
District of Columbia,Topic 19,Individuals with valid concealable weapons licenses are exempt from handgun carrying restrictions.,9,0.01535895684
District of Columbia,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,10,0.4360113268
Florida,Topic 12,"A licensing authority may grant a permit to purchase, rent, or lease firearms to adults, and the state has the authority to regulate firearms and knives, while municipalities may not.",1,-8.756462268
Florida,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",2,-2.694539098
Florida,Topic 11,The common law castle doctrine in the US established that a person attacked in their home had the right to use deadly force only if they reasonably believed it necessary to protect themselves.,3,-2.357968899
Florida,Topic 4,"Selling Saturday night special pistols is a gross misdemeanor, and “family or household members” includes persons in a significant romantic or sexual relationship.",4,-0.3736524942
Florida,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",5,-1.08E-06
Florida,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,6,0
Florida,Topic 26,The court may enter temporary orders to protect the plaintiff or minor child from abuse and may direct the defendant not to possess a firearm or other dangerous weapon.,7,0
Florida,Topic 3,"A valid license can be issued for hunting, target shooting, and self-defense purposes by court justices, police boards, mayors, selectmen, or the commissioner of public safety.",8,0
Florida,Topic 9,"A court may issue an ex parte gun violence restraining order if a petition, affidavit and additional information show substantial likelihood of person's danger.",9,0.05885577599
Florida,Topic 19,Individuals with valid concealable weapons licenses are exempt from handgun carrying restrictions.,10,0.07054754567
Georgia,Topic 25,"Any person who sells, barters, gives, or furnishes a handgun to a minor, having good cause to believe them to be a minor, is guilty of a Class 6 felony, and must undergo a criminal history background check.",1,-5.625118849
Georgia,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",2,-2.388285471
Georgia,Topic 15,"Peace officers must arrest and charge a person suspected of committing a family violence crime, regardless of victim consent, relationship between suspects, or victim's request.",3,-0.788389366
Georgia,Topic 12,"A licensing authority may grant a permit to purchase, rent, or lease firearms to adults, and the state has the authority to regulate firearms and knives, while municipalities may not.",4,-0.7364182538
Georgia,Topic 27,"Minors under eighteen cannot possess or carry deadly weapons, except on their own or family premises or with parental/guardian permission.",5,-0.5707129422
Georgia,Topic 9,"A court may issue an ex parte gun violence restraining order if a petition, affidavit and additional information show substantial likelihood of person's danger.",6,-0.2237327729
Georgia,Topic 8,"A person under 18 years of age is guilty of unlawful possession of a handgun if they possess, manufacture, or transport it.",7,-0.04750936914
Georgia,Topic 10,"A person shall not possess a firearm if they have entered a plea of guilty but mentally ill, and a person must report the loss or theft of any firearm or dangerous ordnance to law enforcement immediately.",8,-0.003457448809
Georgia,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",9,-2.74E-07
Georgia,Topic 21,Whoever sells or furnishes firearms to minors under the age of 15 will be fined between $100 and $500.,10,-2.27E-09
Hawaii,Topic 23,"No person or organization may sell, purchase, or repair firearms, destructive devices, parts, or ammunition without a dealer's license; registrants must comply with all duties imposed by this act.",1,-4.17516143
Hawaii,Topic 25,"Any person who sells, barters, gives, or furnishes a handgun to a minor, having good cause to believe them to be a minor, is guilty of a Class 6 felony, and must undergo a criminal history background check.",2,-3.992626534
Hawaii,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",3,-0.9360314737
Hawaii,Topic 7,"Purchasing of antique cannons, rifles, and shotguns is prohibited, and applications for permits to purchase handguns and firearms purchaser identification cards must be in the form prescribed by the b.",4,-0.2615142739
Hawaii,Topic 17,"A firearms dealer must obtain a completed statement of intent, inspect proof of identity, and request a records check before transferring any handgun.",5,-0.02807044798
Hawaii,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",6,-6.41E-07
Hawaii,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,7,0
Hawaii,Topic 18,"Any person who knowingly and intentionally sells, delivers, or transfers a firearm in violation commits a misdemeanor of the second degree.",8,0
Hawaii,Topic 26,The court may enter temporary orders to protect the plaintiff or minor child from abuse and may direct the defendant not to possess a firearm or other dangerous weapon.,9,0
Hawaii,Topic 21,Whoever sells or furnishes firearms to minors under the age of 15 will be fined between $100 and $500.,10,4.18E-09
Idaho,Topic 12,"A licensing authority may grant a permit to purchase, rent, or lease firearms to adults, and the state has the authority to regulate firearms and knives, while municipalities may not.",1,-0.8144869638
Idaho,Topic 27,"Minors under eighteen cannot possess or carry deadly weapons, except on their own or family premises or with parental/guardian permission.",2,-0.4752755852
Idaho,Topic 25,"Any person who sells, barters, gives, or furnishes a handgun to a minor, having good cause to believe them to be a minor, is guilty of a Class 6 felony, and must undergo a criminal history background check.",3,-0.2464356273
Idaho,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,4,-0.1496774615
Idaho,Topic 11,The common law castle doctrine in the US established that a person attacked in their home had the right to use deadly force only if they reasonably believed it necessary to protect themselves.,5,-0.09792023188
Idaho,Topic 22,"No handgun shall be delivered to any person without a valid permit to purchase a firearm and at least seven days have elapsed, nor shall any pistol or revolver be delivered within five days of application.",6,-0.04773202788
Idaho,Topic 9,"A court may issue an ex parte gun violence restraining order if a petition, affidavit and additional information show substantial likelihood of person's danger.",7,-0.02633404578
Idaho,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",8,-0.01585360051
Idaho,Topic 10,"A person shall not possess a firearm if they have entered a plea of guilty but mentally ill, and a person must report the loss or theft of any firearm or dangerous ordnance to law enforcement immediately.",9,-0.006281313078
Idaho,Topic 4,"Selling Saturday night special pistols is a gross misdemeanor, and “family or household members” includes persons in a significant romantic or sexual relationship.",10,-0.003327920104
Illinois,Topic 27,"Minors under eighteen cannot possess or carry deadly weapons, except on their own or family premises or with parental/guardian permission.",1,-6.109736903
Illinois,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",2,-3.00826059
Illinois,Topic 12,"A licensing authority may grant a permit to purchase, rent, or lease firearms to adults, and the state has the authority to regulate firearms and knives, while municipalities may not.",3,-2.789968585
Illinois,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,4,-0.8508193542
Illinois,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",5,-1.33E-06
Illinois,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,6,0
Illinois,Topic 26,The court may enter temporary orders to protect the plaintiff or minor child from abuse and may direct the defendant not to possess a firearm or other dangerous weapon.,7,0
Illinois,Topic 21,Whoever sells or furnishes firearms to minors under the age of 15 will be fined between $100 and $500.,8,6.93E-10
Illinois,Topic 22,"No handgun shall be delivered to any person without a valid permit to purchase a firearm and at least seven days have elapsed, nor shall any pistol or revolver be delivered within five days of application.",9,0.05998464839
Illinois,Topic 10,"A person shall not possess a firearm if they have entered a plea of guilty but mentally ill, and a person must report the loss or theft of any firearm or dangerous ordnance to law enforcement immediately.",10,0.08389075099
Indiana,Topic 23,"No person or organization may sell, purchase, or repair firearms, destructive devices, parts, or ammunition without a dealer's license; registrants must comply with all duties imposed by this act.",1,-0.3082810919
Indiana,Topic 17,"A firearms dealer must obtain a completed statement of intent, inspect proof of identity, and request a records check before transferring any handgun.",2,-0.2702025455
Indiana,Topic 25,"Any person who sells, barters, gives, or furnishes a handgun to a minor, having good cause to believe them to be a minor, is guilty of a Class 6 felony, and must undergo a criminal history background check.",3,-0.2191842615
Indiana,Topic 22,"No handgun shall be delivered to any person without a valid permit to purchase a firearm and at least seven days have elapsed, nor shall any pistol or revolver be delivered within five days of application.",4,-0.02875019448
Indiana,Topic 7,"Purchasing of antique cannons, rifles, and shotguns is prohibited, and applications for permits to purchase handguns and firearms purchaser identification cards must be in the form prescribed by the b.",5,-0.02502730522
Indiana,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,6,-0.02107715857
Indiana,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",7,-9.04E-08
Indiana,Topic 21,Whoever sells or furnishes firearms to minors under the age of 15 will be fined between $100 and $500.,8,-1.32E-10
Indiana,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,9,0
Indiana,Topic 18,"Any person who knowingly and intentionally sells, delivers, or transfers a firearm in violation commits a misdemeanor of the second degree.",10,0
Iowa,Topic 29,"A protective order is a restraining order issued ex parte, after notice and hearing, or in a judgment, and prohibits a person subject to the order from owning, possessing, purchasing, or receiving firearms or ammunition while in effect.",1,-0.3237168552
Iowa,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",2,-0.08943880343
Iowa,Topic 27,"Minors under eighteen cannot possess or carry deadly weapons, except on their own or family premises or with parental/guardian permission.",3,-0.03046513541
Iowa,Topic 6,"Whoever recklessly stores or leaves a loaded firearm within reach of a child can be found guilty of a Class A misdemeanor, and face relief in an order for protection if the child causes bodily harm or death to themselves or others.",4,-0.02148006701
Iowa,Topic 9,"A court may issue an ex parte gun violence restraining order if a petition, affidavit and additional information show substantial likelihood of person's danger.",5,-0.01568312161
Iowa,Topic 23,"No person or organization may sell, purchase, or repair firearms, destructive devices, parts, or ammunition without a dealer's license; registrants must comply with all duties imposed by this act.",6,-0.01389506661
Iowa,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",7,-4.35E-09
Iowa,Topic 21,Whoever sells or furnishes firearms to minors under the age of 15 will be fined between $100 and $500.,8,-2.33E-11
Iowa,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,9,0
Iowa,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,10,0.002903838632
Kansas,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",1,-1.0580704
Kansas,Topic 11,The common law castle doctrine in the US established that a person attacked in their home had the right to use deadly force only if they reasonably believed it necessary to protect themselves.,2,-0.4274215559
Kansas,Topic 25,"Any person who sells, barters, gives, or furnishes a handgun to a minor, having good cause to believe them to be a minor, is guilty of a Class 6 felony, and must undergo a criminal history background check.",3,-0.3916062274
Kansas,Topic 29,"A protective order is a restraining order issued ex parte, after notice and hearing, or in a judgment, and prohibits a person subject to the order from owning, possessing, purchasing, or receiving firearms or ammunition while in effect.",4,-0.3058729225
Kansas,Topic 20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.,5,-0.2645854176
Kansas,Topic 22,"No handgun shall be delivered to any person without a valid permit to purchase a firearm and at least seven days have elapsed, nor shall any pistol or revolver be delivered within five days of application.",6,-0.0720813173
Kansas,Topic 7,"Purchasing of antique cannons, rifles, and shotguns is prohibited, and applications for permits to purchase handguns and firearms purchaser identification cards must be in the form prescribed by the b.",7,-0.01195803613
Kansas,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",8,-3.91E-07
Kansas,Topic 21,Whoever sells or furnishes firearms to minors under the age of 15 will be fined between $100 and $500.,9,-3.04E-10
Kansas,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,10,0
Kentucky,Topic 12,"A licensing authority may grant a permit to purchase, rent, or lease firearms to adults, and the state has the authority to regulate firearms and knives, while municipalities may not.",1,0
Kentucky,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,2,0
Kentucky,Topic 3,"A valid license can be issued for hunting, target shooting, and self-defense purposes by court justices, police boards, mayors, selectmen, or the commissioner of public safety.",3,0
Kentucky,Topic 13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances.",4,2.38E-09
Kentucky,Topic 5,Selling firearms without a valid license is a misdemeanor,5,4.11E-05
Kentucky,Topic 9,"A court may issue an ex parte gun violence restraining order if a petition, affidavit and additional information show substantial likelihood of person's danger.",6,0.0001143287136
Kentucky,Topic 19,Individuals with valid concealable weapons licenses are exempt from handgun carrying restrictions.,7,0.00015065073
Kentucky,Topic 11,The common law castle doctrine in the US established that a person attacked in their home had the right to use deadly force only if they reasonably believed it necessary to protect themselves.,8,0.0003772838393
Kentucky,Topic 22,"No handgun shall be delivered to any person without a valid permit to purchase a firearm and at least seven days have elapsed, nor shall any pistol or revolver be delivered within five days of application.",9,0.0007246214421
Kentucky,Topic 28,"A person commits the offense of unlawful use of weapons when they carry or possess a pistol or revolver in any vehicle, or concealed on or about their person, unless on their own land or in their own abode, legal dwelling or fixed place of business.",10,0.0008212538548
Louisiana,Topic 14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit.",1,-0.8196375014
Louisiana,Topic 23,"No person or organization may sell, purchase, or repair firearms, destructive devices, parts, or ammunition without a dealer's license; registrants must comply with all duties imposed by this act.",2,-0.4543510911
Louisiana,Topic 29,"A protective order is a restraining order issued ex parte, after notice and hearing, or in a judgment, and prohibits a person subject to the order from owning, possessing, purchasing, or receiving firearms or ammunition while in effect.",3,-0.306926399
Louisiana,Topic 4,"Selling Saturday night special pistols is a gross misdemeanor, and “family or household members” includes persons in a significant romantic or sexual relationship.",4,-0.1680496503
Louisiana,Topic 5,Selling firearms without a valid license is a misdemeanor,5,-0.164946472
Louisiana,Topic 22,"No handgun shall be delivered to any person without a valid permit to purchase a firearm and at least seven days have elapsed, nor shall any pistol or revolver be delivered within five days of application.",6,-0.143340833
Louisiana,Topic 10,"A person shall not possess a firearm if they have entered a plea of guilty but mentally ill, and a person must report the loss or theft of any firearm or dangerous ordnance to law enforcement immediately.",7,-0.08128371374
Louisiana,Topic 8,"A person under 18 years of age is guilty of unlawful possession of a handgun if they possess, manufacture, or transport it.",8,-0.02374996597
Louisiana,Topic 21,Whoever sells or furnishes firearms to minors under the age of 15 will be fined between $100 and $500.,9,-3.88E-10
Louisiana,Topic 16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.,10,0
Maine,Topic 27,"Minors under eighteen cannot possess or carry deadly weapons, except on their own or family premises or with parental/guardian permission.",1,-0.4453123747
